20,5000,2,2500,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,pop1,pop2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ind,Pop,locus1, ,locus2, ,locus3, ,locus4, ,locus5, ,locus6, ,locus7, ,locus8, ,locus9, ,locus10, ,locus11, ,locus12, ,locus13, ,locus14, ,locus15, ,locus16, ,locus17, ,locus18, ,locus19, ,locus20, 
"0001","pop1","504","502","500","503","500","506","504","494","506","505","495","500","505","502","509","499","502","502","500","498","496","495","495","498","506","499","493","500","492","497","510","505","492","493","505","510","492","506","502","504"
"0002","pop1","502","501","492","504","507","499","501","493","505","505","491","494","502","497","509","499","500","500","498","498","495","508","495","495","502","503","500","500","497","497","495","495","492","492","500","502","501","505","499","507"
"0003","pop1","502","505","502","502","503","505","504","492","505","507","501","496","494","499","509","510","497","496","498","498","496","500","498","503","505","505","500","501","497","498","505","494","492","492","502","509","495","493","499","503"
"0004","pop1","510","500","492","499","503","505","504","501","505","505","501","496","506","500","509","505","496","503","494","497","495","499","493","502","502","502","499","494","494","494","495","506","492","500","505","500","503","502","499","501"
"0005","pop1","501","500","497","495","507","505","504","494","506","507","500","493","498","501","505","497","498","498","499","495","508","508","498","502","498","507","500","504","492","495","506","498","493","493","505","500","506","493","496","493"
"0006","pop1","501","501","498","493","507","502","503","496","505","508","501","501","505","499","510","510","502","497","500","494","496","501","502","499","499","502","494","503","494","495","496","496","493","499","509","508","505","504","504","500"
"0007","pop1","502","503","497","498","505","502","492","505","506","505","494","501","500","495","509","498","502","502","494","495","495","500","497","497","499","504","505","505","497","497","496","504","492","495","500","497","504","508","501","508"
"0008","pop1","501","508","492","495","506","498","504","492","507","504","491","494","498","501","499","510","502","496","497","493","495","509","495","502","505","498","493","504","492","495","495","496","492","494","508","499","493","502","501","508"
"0009","pop1","510","509","502","499","507","502","492","506","505","504","500","494","499","499","509","510","503","498","500","494","495","506","495","498","505","509","494","505","491","493","496","492","493","494","509","508","493","493","493","493"
"0010","pop1","503","509","499","501","505","504","504","493","506","504","494","501","494","499","509","510","502","502","499","492","509","507","498","496","504","497","504","503","497","497","506","504","492","493","510","508","506","502","504","499"
"0011","pop1","501","505","492","494","504","504","504","502","504","503","494","501","494","499","509","510","502","500","497","499","501","494","495","500","505","507","500","501","497","496","495","495","493","494","505","500","504","504","503","495"
"0012","pop1","502","510","497","493","505","505","504","505","505","505","491","492","499","498","499","510","502","495","500","496","495","498","497","500","502","505","494","502","497","494","495","494","493","499","508","508","501","491","492","506"
"0013","pop1","501","501","499","495","507","507","493","506","505","503","500","492","498","507","509","500","500","498","496","496","500","499","498","497","499","498","504","504","495","496","495","497","492","494","509","501","493","500","502","500"
"0014","pop1","500","503","502","499","500","505","504","504","504","503","494","496","495","496","509","498","503","498","498","495","508","497","498","501","504","504","503","497","492","497","505","496","492","491","500","501","502","508","504","501"
