20,5000,2,2500,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,pop1,pop2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ind,Pop,locus1, ,locus2, ,locus3, ,locus4, ,locus5, ,locus6, ,locus7, ,locus8, ,locus9, ,locus10, ,locus11, ,locus12, ,locus13, ,locus14, ,locus15, ,locus16, ,locus17, ,locus18, ,locus19, ,locus20, 
"0001","pop1","504","496","501","500","505","506","499","501","501","502","492","495","494","500","492","507","505","504","501","501","504","501","501","500","500","506","497","493","501","500","508","503","491","493","503","491","502","497","494","495"
"0002","pop1","506","501","500","500","493","492","501","502","501","497","493","493","500","499","495","499","502","507","499","493","504","495","503","508","500","500","496","494","501","509","502","500","494","494","493","493","497","505","495","495"
"0003","pop1","503","507","501","501","494","496","499","501","497","493","495","491","495","495","495","506","505","504","506","495","501","503","509","502","499","499","496","492","501","506","503","502","494","492","503","498","502","498","495","497"
"0004","pop1","504","502","501","501","505","504","501","502","506","496","494","497","502","497","504","504","505","499","496","492","505","502","501","500","500","504","492","491","499","508","507","509","493","492","503","493","502","496","497","493"
"0005","pop1","496","506","501","500","494","491","501","502","502","496","498","498","500","497","504","494","504","499","493","506","495","503","499","507","495","496","494","492","508","508","500","504","493","495","493","492","497","498","497","491"
"0006","pop1","496","492","501","501","492","494","499","498","493","506","492","492","494","497","499","491","507","506","492","494","504","494","501","509","500","501","493","491","506","499","500","498","491","494","503","493","497","498","495","495"
"0007","pop1","506","506","500","500","494","502","499","501","497","495","495","493","500","492","502","505","499","509","494","497","503","496","507","507","506","499","493","492","500","499","502","498","494","496","503","504","497","498","494","493"
"0008","pop1","504","498","496","499","496","502","499","495","497","495","495","502","496","496","499","503","509","508","494","500","505","494","503","499","500","503","493","492","500","508","503","502","493","494","503","496","497","503","495","495"
"0009","pop1","503","500","500","497","502","499","501","500","500","500","492","498","500","492","506","510","507","498","501","494","502","494","509","509","496","496","496","495","501","500","502","504","494","496","503","503","498","501","494","495"
"0010","pop1","494","497","501","500","494","495","499","502","496","498","492","495","497","497","505","500","505","505","501","494","503","496","509","502","499","497","494","494","501","499","504","505","494","492","503","504","502","498","494","496"
"0011","pop1","500","494","499","499","501","503","502","502","493","506","493","497","500","496","500","496","499","509","492","502","495","494","509","506","499","507","496","496","500","502","504","505","494","492","503","493","498","495","497","497"
"0012","pop1","494","505","500","503","505","495","501","502","506","496","493","493","497","498","506","501","504","504","493","495","495","503","509","506","506","502","494","492","501","500","500","500","494","492","492","504","498","500","494","497"
"0013","pop1","499","499","501","499","502","503","499","499","500","494","493","501","500","499","504","509","499","506","494","498","504","503","501","508","506","502","494","492","500","500","502","499","493","495","504","497","503","499","495","491"
