20,5000,2,2500,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,pop1,pop2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ind,Pop,locus1, ,locus2, ,locus3, ,locus4, ,locus5, ,locus6, ,locus7, ,locus8, ,locus9, ,locus10, ,locus11, ,locus12, ,locus13, ,locus14, ,locus15, ,locus16, ,locus17, ,locus18, ,locus19, ,locus20, 
"0001","pop1","503","502","508","508","509","499","499","499","502","501","496","499","510","507","500","506","504","503","492","491","502","506","505","503","493","492","493","496","499","493","500","500","505","501","503","503","493","495","508","499"
"0002","pop1","501","504","508","507","499","498","503","504","502","500","496","494","509","501","505","502","503","498","493","494","499","501","502","500","492","494","501","500","504","492","500","501","492","495","497","499","493","498","508","499"
"0003","pop1","503","506","508","505","496","500","495","498","501","500","496","491","497","508","505","504","503","498","492","493","502","502","498","499","493","504","500","499","491","503","500","502","501","508","499","502","495","495","509","509"
"0004","pop1","504","505","503","509","498","497","503","504","505","503","496","509","509","508","500","504","497","501","494","494","506","503","497","496","505","507","499","495","503","497","502","503","501","503","497","508","495","500","508","510"
"0005","pop1","504","505","505","509","496","491","499","504","501","500","501","497","501","500","506","509","498","497","491","491","501","507","500","498","491","491","501","499","509","502","500","501","502","494","499","506","495","494","508","509"
"0006","pop1","502","499","505","504","499","491","499","504","499","499","494","509","507","507","506","505","504","502","491","496","501","507","499","495","493","507","496","498","501","501","500","502","503","499","503","504","500","494","496","500"
"0007","pop1","505","498","503","509","498","502","504","505","502","501","494","495","500","498","504","507","504","505","494","496","506","506","500","500","495","495","499","502","503","503","505","499","508","503","502","506","495","495","499","507"
"0008","pop1","504","506","508","504","496","501","498","500","500","499","496","496","508","498","507","510","504","497","506","497","502","504","502","500","494","494","500","494","493","509","500","500","494","498","506","500","494","494","496","498"
"0009","pop1","503","506","508","505","499","495","499","497","500","498","496","497","510","504","500","507","503","498","491","494","502","504","498","501","492","491","496","502","492","502","500","499","501","506","505","501","493","497","508","509"
"0010","pop1","502","501","507","505","498","494","498","497","502","503","499","493","500","505","505","509","504","497","492","495","501","503","502","501","491","491","501","499","504","501","502","502","505","505","504","498","494","494","510","503"
"0011","pop1","503","503","505","509","496","502","503","500","500","503","496","501","507","499","502","503","503","502","491","494","507","504","500","501","491","496","496","495","493","503","502","499","494","498","499","500","495","494","509","500"
"0012","pop1","503","505","509","509","500","491","498","508","501","499","496","491","497","506","504","504","497","496","492","491","506","499","500","499","493","504","493","500","509","500","500","501","506","506","499","504","495","495","508","509"
"0013","pop1","504","499","508","509","500","497","505","497","502","500","494","509","495","495","499","499","505","506","492","495","501","505","495","501","507","491","500","495","497","500","501","498","501","492","497","498","495","494","499","496"
"0014","pop1","503","501","507","509","498","501","499","500","502","502","496","509","507","497","506","507","496","495","492","493","503","504","499","495","504","504","499","495","503","502","501","499","506","497","505","507","494","497","509","510"
