20,5000,2,2500,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,pop1,pop2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ind,Pop,locus1, ,locus2, ,locus3, ,locus4, ,locus5, ,locus6, ,locus7, ,locus8, ,locus9, ,locus10, ,locus11, ,locus12, ,locus13, ,locus14, ,locus15, ,locus16, ,locus17, ,locus18, ,locus19, ,locus20, 
"0001","pop1","500","510","502","499","505","503","500","501","497","492","510","507","502","505","501","499","495","495","504","500","492","506","509","498","510","504","507","494","498","495","502","510","498","493","496","496","504","498","507","505"
"0002","pop1","500","510","502","497","505","503","500","494","492","496","499","502","502","501","503","502","496","496","500","501","506","501","505","503","499","499","507","499","498","497","498","508","493","497","498","502","498","499","507","509"
"0003","pop1","510","508","495","493","503","504","496","493","498","495","502","504","506","507","503","503","496","497","494","494","501","499","503","506","500","498","503","498","497","501","498","500","504","496","502","501","499","496","509","500"
"0004","pop1","500","509","502","495","505","503","491","499","492","491","498","500","505","500","503","504","496","499","494","493","500","505","499","504","505","509","498","500","497","499","508","507","493","492","496","498","498","503","503","508"
"0005","pop1","509","504","493","496","504","499","503","492","492","496","500","508","503","503","503","500","496","505","500","499","506","508","503","510","507","502","499","502","501","496","498","509","493","505","493","493","499","503","507","506"
"0006","pop1","509","502","499","500","503","497","499","499","492","496","507","507","500","503","502","505","496","498","493","507","504","507","501","508","509","507","494","498","498","497","502","508","492","506","496","494","496","502","508","508"
"0007","pop1","503","507","495","495","505","497","494","499","492","496","502","503","501","508","503","503","499","498","509","508","502","502","509","509","500","507","499","499","497","494","507","509","497","497","494","495","499","493","505","506"
"0008","pop1","510","504","500","494","504","497","491","491","492","492","504","508","507","504","502","500","498","502","493","508","506","501","504","502","499","507","494","496","497","494","498","497","497","491","498","495","498","499","507","508"
"0009","pop1","507","507","500","494","505","497","493","493","497","492","498","506","502","504","503","505","496","499","509","509","506","504","503","499","502","503","498","496","498","496","508","507","493","492","496","497","500","501","505","502"
"0010","pop1","510","509","499","494","505","503","500","501","498","494","498","501","505","501","503","504","495","502","504","492","506","505","504","502","505","508","500","497","497","499","502","503","497","502","500","491","503","493","504","504"
"0011","pop1","499","501","494","492","505","503","494","499","492","492","502","498","501","508","503","502","499","500","493","505","494","491","509","503","503","501","499","498","497","501","502","510","498","493","498","494","504","498","509","509"
"0012","pop1","500","501","493","494","503","502","491","499","492","496","507","499","502","502","503","504","497","498","494","492","501","504","509","501","498","502","496","501","498","495","502","498","493","502","495","499","498","498","507","504"
"0013","pop1","502","501","499","492","503","504","501","499","491","494","500","509","501","500","499","503","497","498","507","505","494","503","503","500","502","508","500","502","499","504","500","507","497","496","498","500","500","494","508","504"
"0014","pop1","510","502","497","493","505","503","494","497","497","494","507","497","501","506","502","500","496","497","509","510","506","498","509","508","505","507","496","497","498","495","507","509","492","506","497","499","496","500","507","507"
"0015","pop1","510","510","495","498","505","505","501","497","496","495","507","500","503","508","501","503","496","497","504","510","508","508","503","503","500","507","499","501","498","504","498","507","504","499","495","500","500","494","502","510"
"0016","pop1","510","507","495","494","505","497","500","496","492","491","499","501","507","508","499","503","496","500","493","508","508","507","503","503","498","507","499","496","498","495","508","506","498","499","500","499","499","502","507","508"
"0017","pop1","500","510","497","493","503","504","501","497","492","492","500","503","501","506","503","504","501","501","509","492","503","510","509","501","505","507","500","501","498","496","508","508","492","503","498","497","503","501","508","510"
"0018","pop1","503","501","499","501","505","497","494","493","492","498","504","500","506","499","503","502","496","501","500","493","500","494","503","502","509","508","494","498","495","496","498","497","493","492","496","501","499","501","509","510"
