20,5000,2,2500,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,pop1,pop2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ind,Pop,locus1, ,locus2, ,locus3, ,locus4, ,locus5, ,locus6, ,locus7, ,locus8, ,locus9, ,locus10, ,locus11, ,locus12, ,locus13, ,locus14, ,locus15, ,locus16, ,locus17, ,locus18, ,locus19, ,locus20, 
"0001","pop1","498","498","508","507","494","493","494","493","508","503","499","500","502","509","497","503","503","500","498","503","503","507","503","502","493","500","494","494","497","497","494","499","504","507","502","496","494","492","507","509"
"0002","pop1","494","504","508","510","494","493","506","505","510","506","497","506","509","499","497","498","503","501","501","508","507","497","500","504","507","502","493","493","498","499","501","495","502","508","495","493","494","497","506","506"
"0003","pop1","501","495","508","499","494","498","495","508","508","505","498","502","498","498","498","502","500","498","503","501","497","493","507","507","493","501","494","492","498","502","499","498","502","501","495","498","494","500","506","506"
"0004","pop1","504","501","507","509","494","496","494","508","510","510","497","494","499","501","498","499","501","509","498","507","495","500","504","505","493","496","494","491","497","497","502","492","503","503","498","501","496","496","506","506"
"0005","pop1","495","507","508","510","494","495","494","493","508","509","499","506","504","504","498","499","500","500","508","505","501","499","500","499","493","504","493","491","501","493","501","491","507","502","498","504","504","493","504","502"
"0006","pop1","499","502","509","509","494","491","494","493","510","509","500","497","509","498","499","499","495","495","501","507","497","495","507","508","493","501","494","493","497","499","494","493","496","509","495","494","496","493","509","503"
"0007","pop1","503","503","507","499","494","498","506","491","510","506","502","502","509","504","494","495","501","494","498","508","503","507","505","509","493","499","491","504","497","498","494","493","507","506","496","498","495","506","506","503"
"0008","pop1","496","500","505","506","492","492","494","491","510","507","506","506","504","508","497","500","500","504","507","507","501","504","500","504","501","494","494","494","499","494","498","500","502","498","495","500","494","494","506","508"
"0009","pop1","502","505","508","509","494","495","506","505","508","509","497","503","509","509","499","500","500","494","498","501","495","495","508","501","504","492","492","503","498","499","501","495","496","500","496","498","492","493","502","503"
"0010","pop1","494","504","499","509","493","493","493","506","508","504","497","503","498","510","500","500","502","507","503","506","501","506","504","508","501","499","494","491","496","500","494","501","502","506","495","499","496","491","506","508"
"0011","pop1","504","500","510","510","496","492","494","508","506","507","494","494","510","503","499","495","500","501","507","499","493","494","500","504","493","502","493","502","500","495","492","493","503","506","499","499","492","493","503","505"
"0012","pop1","494","503","510","510","496","495","506","506","509","509","502","493","500","505","500","500","503","503","503","499","507","507","504","499","507","507","491","502","498","499","502","492","503","505","496","497","494","506","506","504"
"0013","pop1","500","500","509","506","494","495","492","507","508","507","500","496","510","505","499","500","501","497","501","507","507","494","503","500","493","496","494","493","497","501","499","498","504","508","498","498","495","491","507","509"
"0014","pop1","504","509","508","508","493","496","494","493","510","504","502","496","508","506","498","499","501","509","499","504","507","509","503","508","500","505","493","504","501","501","494","500","502","502","495","505","492","501","507","508"
"0015","pop1","501","497","508","510","494","492","506","506","510","509","503","501","498","505","499","494","497","492","499","504","495","502","508","508","498","503","494","503","493","500","500","497","502","503","495","506","496","506","502","503"
"0016","pop1","504","504","502","500","494","492","491","497","508","510","502","501","498","508","499","496","501","496","503","499","507","495","509","510","492","503","493","499","493","500","495","498","508","503","496","495","494","500","508","505"
"0017","pop1","498","505","499","499","494","494","493","493","510","509","506","495","508","510","499","500","503","509","508","499","495","494","507","508","500","504","492","491","499","494","499","492","508","510","495","498","497","496","509","502"
"0018","pop1","498","497","510","499","496","495","506","496","509","509","498","496","501","501","499","493","507","492","503","508","501","494","507","508","494","497","493","491","499","501","494","499","507","502","498","500","495","505","505","510"
"0019","pop1","501","495","507","510","493","497","506","510","510","506","495","505","502","498","498","498","509","499","503","507","495","501","504","507","503","491","504","503","501","501","494","501","503","506","493","498","494","496","508","505"
"0020","pop1","501","501","508","502","498","500","505","491","510","509","502","496","509","500","495","496","500","500","507","499","501","494","508","510","493","499","494","500","497","498","501","501","502","502","501","494","494","494","507","507"
"0021","pop1","504","500","499","499","496","495","493","491","508","510","506","506","499","507","498","493","500","509","498","507","504","496","503","500","493","507","492","491","498","495","494","501","502","501","498","497","496","493","506","508"
"0022","pop1","501","496","509","495","494","491","493","495","508","509","500","502","498","498","497","496","500","501","499","504","507","501","500","510","504","494","492","495","499","499","494","494","507","496","498","503","507","498","507","506"
"0023","pop1","507","506","508","509","496","497","494","505","508","506","506","494","508","505","499","500","509","509","503","501","507","501","508","509","499","505","492","491","497","494","499","500","503","505","505","492","494","495","507","507"
"0024","pop1","499","502","509","500","492","497","492","496","510","505","499","502","509","504","497","498","509","509","498","500","495","496","503","506","502","501","493","491","497","496","494","500","504","499","502","501","494","505","508","505"
"0025","pop1","495","499","507","510","493","498","494","506","510","509","495","505","501","504","500","496","509","495","508","506","495","495","504","506","505","495","494","493","497","500","494","493","503","497","496","498","493","502","506","503"
"0026","pop1","501","507","510","506","498","497","506","508","507","504","499","497","504","510","499","495","500","494","507","500","507","497","503","505","507","501","493","491","499","495","494","492","506","498","496","503","492","502","507","505"
"0027","pop1","504","507","507","510","493","496","493","491","508","510","499","506","509","500","497","502","500","502","507","500","495","505","509","501","507","495","491","502","499","501","493","497","503","506","498","501","494","504","507","506"
"0028","pop1","500","509","507","507","496","491","505","495","509","504","497","495","510","505","498","500","507","507","505","505","499","496","507","508","501","494","493","492","500","492","493","493","508","501","498","498","492","496","503","508"
"0029","pop1","501","507","499","509","494","498","493","492","508","508","499","496","509","509","499","499","503","502","503","503","503","494","508","509","507","494","492","503","497","498","494","494","501","503","495","498","496","501","506","504"
"0030","pop1","498","495","507","499","494","494","508","510","510","510","496","505","502","501","498","500","502","497","499","499","503","495","500","500","493","495","493","501","502","494","493","500","503","506","498","492","494","501","506","506"
"0031","pop1","498","501","508","510","494","493","505","492","510","506","499","498","502","509","500","500","500","493","501","499","507","502","500","501","493","494","494","492","499","493","493","500","510","499","500","497","494","493","506","508"
"0032","pop1","494","504","507","509","494","498","494","506","510","505","499","500","504","500","497","500","500","509","507","504","500","492","504","508","493","499","492","491","497","499","499","500","503","500","493","492","496","495","509","504"
"0033","pop1","501","508","508","509","498","497","491","491","510","510","497","506","498","508","497","499","502","507","508","508","496","496","504","509","492","495","492","491","501","501","494","491","507","503","495","494","496","496","503","508"
"0034","pop1","501","506","508","496","493","493","494","495","508","509","500","502","508","508","500","496","500","504","506","499","501","506","503","505","507","504","494","491","499","499","498","493","507","508","501","503","492","495","503","505"
"0035","pop1","504","509","510","502","494","493","495","507","509","507","506","501","508","510","498","495","509","499","501","502","507","493","503","509","493","502","494","504","497","498","494","494","502","503","496","497","494","494","506","508"
"0036","pop1","504","502","507","505","494","496","505","508","509","509","502","495","504","503","497","495","501","510","499","499","503","505","503","510","493","499","493","493","497","496","498","492","507","502","494","503","495","495","504","502"
"0037","pop1","504","502","509","498","494","495","493","505","503","509","499","505","508","510","495","496","498","493","501","499","495","501","504","499","507","496","493","503","497","497","494","492","504","506","498","494","492","495","506","508"
