20,5000,2,2500,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,pop1,pop2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ind,Pop,locus1, ,locus2, ,locus3, ,locus4, ,locus5, ,locus6, ,locus7, ,locus8, ,locus9, ,locus10, ,locus11, ,locus12, ,locus13, ,locus14, ,locus15, ,locus16, ,locus17, ,locus18, ,locus19, ,locus20, 
"0001","pop1","501","500","497","496","499","500","493","498","501","492","502","504","503","497","501","504","499","494","498","496","499","496","507","509","499","499","503","498","509","504","502","502","497","495","496","498","504","501","500","491"
"0002","pop1","492","497","497","510","504","502","494","491","501","505","502","503","496","502","501","508","495","495","495","500","494","495","509","510","496","500","505","500","510","508","507","504","495","499","496","500","504","500","499","501"
"0003","pop1","504","495","510","505","503","503","503","501","501","501","506","501","504","499","502","503","496","500","496","497","498","502","508","508","500","503","505","504","509","502","502","501","499","509","500","491","500","500","494","494"
"0004","pop1","495","499","497","496","502","507","501","495","505","500","501","496","503","502","508","502","500","502","498","493","493","497","507","510","499","499","498","496","508","506","502","501","503","498","499","503","500","499","498","495"
"0005","pop1","500","506","508","509","500","500","501","495","501","498","503","503","496","505","504","502","494","498","496","499","499","509","510","503","499","498","505","504","510","500","502","504","495","499","508","501","497","502","501","497"
"0006","pop1","497","506","498","506","501","497","493","498","500","498","504","499","503","507","504","502","502","497","496","496","499","494","507","509","499","500","495","506","506","507","503","505","495","498","496","500","501","496","495","495"
"0007","pop1","501","492","497","498","504","503","494","494","501","502","503","505","497","498","502","506","495","500","496","497","494","498","507","501","499","501","504","499","509","508","501","499","503","502","501","504","500","508","498","496"
"0008","pop1","503","502","498","498","504","502","491","503","501","501","502","501","497","496","502","503","498","504","498","495","499","493","507","505","499","501","505","504","509","506","501","500","503","504","491","492","502","505","491","494"
"0009","pop1","499","496","508","498","500","502","493","501","499","496","504","501","503","495","504","508","496","497","495","500","494","493","510","508","499","499","503","492","508","506","501","500","499","494","504","510","500","506","494","493"
"0010","pop1","499","498","496","506","503","498","501","492","492","499","503","496","496","505","502","502","494","497","495","497","494","498","507","503","499","499","502","497","502","506","503","508","499","506","508","497","500","496","495","495"
"0011","pop1","499","506","498","499","502","509","494","499","502","491","503","496","496","507","503","505","499","495","497","497","496","495","509","502","503","501","495","502","508","507","501","501","499","498","508","495","500","502","500","498"
"0012","pop1","499","493","498","507","502","502","495","499","498","499","503","501","496","505","508","500","496","497","496","497","494","498","509","509","498","498","499","502","502","505","502","502","498","496","503","494","501","506","495","496"
"0013","pop1","492","506","506","506","504","507","503","501","501","499","504","503","503","503","501","503","499","496","498","499","499","500","503","504","500","500","505","492","506","505","502","503","509","508","493","505","500","502","498","495"
"0014","pop1","501","499","491","501","499","500","494","501","502","503","502","503","496","502","502","507","496","504","496","493","494","498","507","509","501","497","505","500","508","506","501","500","501","500","499","508","499","502","491","495"
"0015","pop1","504","499","496","506","502","497","501","495","501","501","503","501","507","501","501","501","497","497","496","496","496","492","509","510","500","500","505","502","509","502","502","506","495","495","496","492","500","497","494","497"
"0016","pop1","492","506","508","499","499","503","495","497","496","497","503","499","496","500","508","502","499","497","500","497","499","498","510","510","499","501","500","497","509","510","501","497","495","499","492","510","505","498","495","496"
"0017","pop1","499","493","496","499","500","502","494","502","499","496","504","498","499","501","508","503","502","497","496","500","495","491","510","503","499","500","495","492","508","505","501","503","495","495","492","506","500","505","498","495"
"0018","pop1","501","499","497","505","497","506","493","502","501","492","502","501","499","506","501","503","499","497","496","496","494","500","509","510","500","498","504","496","506","506","501","501","499","503","491","492","500","508","498","495"
"0019","pop1","506","503","497","498","501","498","500","496","500","491","499","498","503","504","501","506","495","496","494","505","498","500","508","503","500","502","496","501","508","506","503","498","499","499","491","497","499","498","494","496"
"0020","pop1","501","500","508","507","502","503","503","501","502","491","503","496","500","500","501","503","498","503","496","493","499","495","508","503","501","501","504","499","506","492","502","501","509","498","503","503","505","503","491","493"
"0021","pop1","495","499","497","509","499","502","493","492","501","493","504","503","496","498","504","502","496","500","496","496","499","493","507","508","498","501","492","502","510","500","502","498","504","491","508","497","497","498","498","492"
"0022","pop1","504","495","496","506","500","504","493","491","501","500","501","500","504","505","508","508","495","500","496","496","499","501","509","505","496","498","500","502","508","505","502","501","498","502","496","497","496","498","495","493"
"0023","pop1","500","499","497","508","497","497","493","501","499","491","502","502","503","496","500","507","495","497","498","499","499","501","507","509","499","501","496","497","509","506","501","503","497","497","501","493","505","506","498","498"
"0024","pop1","500","506","497","491","504","509","495","492","491","497","504","499","503","500","501","503","494","495","499","492","496","498","507","508","498","501","500","502","506","506","499","498","509","498","499","497","499","499","494","497"
"0025","pop1","500","499","497","506","502","497","494","495","496","497","501","505","498","500","501","501","500","497","495","505","499","496","509","510","499","501","505","501","506","491","503","505","495","496","501","507","501","505","499","496"
"0026","pop1","501","506","497","506","504","505","493","495","501","503","501","499","496","505","508","503","497","493","500","499","494","500","510","508","499","497","503","499","500","503","502","510","497","495","503","497","501","500","498","495"
"0027","pop1","492","499","505","498","500","504","499","499","501","502","503","501","496","504","501","503","494","496","497","499","493","500","507","507","499","500","496","492","509","504","502","500","499","509","498","492","502","498","498","495"
"0028","pop1","499","499","497","498","500","507","501","499","501","499","502","500","497","505","503","503","497","504","496","494","498","500","503","503","499","499","496","506","507","505","507","501","508","500","504","510","501","501","498","496"
"0029","pop1","492","494","497","499","504","508","501","504","502","491","501","500","503","506","501","505","497","497","495","493","494","500","507","510","498","497","503","504","506","506","502","507","495","498","500","500","501","497","497","493"
"0030","pop1","497","496","497","507","499","509","503","495","492","500","504","501","497","507","503","509","498","498","496","494","494","497","508","503","501","502","502","502","506","507","503","500","509","502","500","495","501","497","491","492"
"0031","pop1","497","506","508","499","499","504","495","500","500","498","502","495","503","506","504","503","499","494","496","494","493","503","507","508","501","501","492","502","509","506","501","500","499","509","495","493","501","502","500","495"
"0032","pop1","492","493","497","510","504","502","501","501","501","497","502","501","504","505","504","502","497","497","498","496","494","501","503","505","501","502","505","500","510","503","502","502","495","493","491","497","501","500","498","498"
