20,5000,2,2500,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,pop1,pop2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ind,Pop,locus1, ,locus2, ,locus3, ,locus4, ,locus5, ,locus6, ,locus7, ,locus8, ,locus9, ,locus10, ,locus11, ,locus12, ,locus13, ,locus14, ,locus15, ,locus16, ,locus17, ,locus18, ,locus19, ,locus20, 
"0001","pop1","501","497","509","507","500","504","493","494","500","493","500","508","492","493","491","495","508","505","510","509","496","505","495","495","499","507","501","497","508","503","507","505","509","495","503","501","508","499","498","495"
"0002","pop1","502","505","509","496","501","502","493","492","492","496","506","493","491","505","498","497","510","507","509","507","505","503","500","494","502","501","499","493","502","505","505","500","507","508","492","498","498","500","493","496"
"0003","pop1","495","496","510","497","501","501","494","494","493","492","500","506","509","502","500","496","507","495","509","506","506","502","495","494","502","501","504","502","502","504","505","503","508","508","501","493","493","496","495","494"
"0004","pop1","505","495","507","497","501","503","499","495","496","497","502","502","492","494","496","496","505","507","509","509","503","503","499","504","502","501","498","506","500","510","507","502","508","508","501","502","496","491","496","497"
"0005","pop1","501","506","510","503","499","499","492","495","500","499","508","506","492","502","495","498","509","492","509","506","503","499","498","497","502","505","501","504","503","505","503","506","505","505","494","500","508","495","496","497"
"0006","pop1","502","502","509","508","502","502","493","493","493","494","506","505","492","494","491","498","505","495","508","499","496","502","500","494","503","503","501","497","504","501","507","503","508","508","494","495","496","497","495","492"
"0007","pop1","497","495","504","495","501","507","491","496","496","491","500","499","502","507","498","498","509","509","509","505","500","500","494","501","502","504","504","491","504","504","507","505","509","509","503","495","497","497","494","492"
"0008","pop1","505","506","509","508","502","502","491","491","492","494","506","507","492","492","498","493","506","494","509","507","500","504","500","499","507","503","497","499","501","501","507","505","507","508","498","494","498","500","496","492"
"0009","pop1","495","504","509","509","502","507","493","493","492","494","506","505","492","493","499","499","506","504","509","506","499","499","494","502","502","502","497","499","503","502","502","510","508","496","502","500","500","510","493","496"
"0010","pop1","495","503","501","500","501","499","491","497","499","506","508","503","502","494","498","496","507","509","509","509","499","495","500","496","499","502","493","495","506","506","507","508","509","506","503","501","510","492","493","492"
"0011","pop1","497","505","509","498","501","510","491","496","491","505","508","505","492","493","496","501","505","509","505","505","496","503","494","502","501","506","497","491","496","507","505","509","507","494","494","494","493","501","493","493"
"0012","pop1","495","503","497","508","507","508","492","491","493","492","506","506","492","492","498","501","505","495","510","509","506","495","495","501","499","501","499","493","504","506","503","510","495","494","492","502","508","493","495","493"
"0013","pop1","495","506","509","500","501","498","493","496","491","505","505","505","492","492","500","494","509","509","509","506","506","495","494","497","502","502","501","501","502","500","505","501","509","507","502","502","500","500","493","497"
"0014","pop1","505","504","500","498","502","508","493","494","496","494","500","506","493","493","497","496","508","507","509","508","502","499","494","493","502","506","501","504","502","504","503","506","507","507","493","494","496","510","494","494"
"0015","pop1","497","506","509","496","503","509","495","502","494","503","505","505","505","496","498","499","505","506","509","507","500","500","500","498","507","502","493","491","504","506","507","504","509","508","495","495","496","509","496","494"
"0016","pop1","506","500","507","506","503","510","493","497","496","506","502","499","491","494","499","501","495","504","510","498","496","503","495","508","502","505","497","498","503","504","507","505","508","510","493","502","499","493","495","496"
"0017","pop1","497","496","507","500","501","501","493","494","493","493","506","509","492","509","500","501","507","506","510","506","499","500","500","498","503","497","499","499","504","506","505","503","507","506","502","500","491","510","497","492"
"0018","pop1","506","507","509","508","500","499","494","494","491","507","506","503","494","496","498","496","505","506","509","505","503","500","494","508","499","503","499","492","505","504","505","508","509","508","492","495","498","500","493","492"
"0019","pop1","502","503","501","499","508","508","493","491","500","504","500","505","509","508","498","498","505","507","509","509","503","498","496","507","502","498","497","492","504","504","503","499","507","494","496","491","491","497","498","495"
"0020","pop1","497","506","509","496","500","505","494","492","493","496","500","506","494","494","498","498","508","506","510","510","503","498","494","509","501","503","498","496","503","506","502","501","508","508","493","494","498","509","494","492"
"0021","pop1","503","503","497","508","500","507","492","492","492","491","500","508","492","502","498","492","508","507","509","499","499","499","494","501","501","503","495","492","508","502","506","501","507","508","502","495","499","495","498","492"
"0022","pop1","506","507","509","506","503","507","493","491","492","495","508","506","496","504","491","494","507","506","509","509","503","500","498","493","502","502","502","502","503","502","505","505","508","506","492","491","499","507","493","494"
"0023","pop1","502","505","497","499","501","506","496","496","493","493","506","505","505","496","496","496","510","504","509","507","505","502","497","493","502","503","492","494","505","510","503","509","509","508","502","495","508","498","498","493"
"0024","pop1","501","501","510","501","501","503","494","491","492","494","506","503","491","491","497","496","507","495","510","505","502","500","497","493","502","501","492","494","504","504","507","505","505","496","494","496","493","496","495","506"
"0025","pop1","495","494","497","494","502","502","493","497","493","496","506","499","492","510","500","496","495","504","509","509","506","500","500","493","499","502","497","493","502","504","507","506","508","506","503","502","497","502","492","492"
"0026","pop1","501","505","496","510","502","502","493","496","492","494","506","506","492","507","498","498","508","510","506","505","503","498","498","497","502","503","499","495","505","506","505","502","509","508","501","500","499","499","494","492"
"0027","pop1","502","505","497","506","500","501","494","496","494","495","499","507","492","494","498","498","507","503","508","508","501","501","494","507","502","503","494","505","504","504","506","510","508","508","501","494","498","500","493","499"
"0028","pop1","497","507","508","495","503","499","493","494","495","495","505","507","491","507","498","492","508","509","507","507","503","501","499","504","499","501","497","493","500","501","507","509","508","505","492","496","499","493","498","498"
"0029","pop1","506","504","508","506","501","501","493","492","491","506","499","507","492","493","495","495","507","495","509","506","502","499","495","509","503","503","501","496","504","506","507","503","508","508","502","495","491","497","493","494"
"0030","pop1","497","506","497","500","508","509","493","495","493","491","506","499","493","509","498","497","509","497","506","506","502","500","495","496","502","502","499","492","502","509","503","510","508","506","493","504","497","509","494","499"
"0031","pop1","506","504","500","506","501","502","494","491","493","496","507","503","494","508","496","501","510","509","509","509","496","502","498","497","502","505","502","495","504","506","507","500","505","496","494","496","496","491","498","493"
"0032","pop1","505","496","509","509","510","509","493","494","496","505","500","505","502","502","498","500","507","509","510","508","505","501","495","508","502","501","499","495","504","504","500","506","507","508","492","493","498","500","498","495"
"0033","pop1","497","495","509","508","501","502","492","491","493","492","506","503","493","501","498","498","506","503","508","508","496","505","500","498","502","501","497","499","502","505","505","510","509","508","493","494","496","501","494","497"
"0034","pop1","497","496","497","502","503","505","493","491","496","491","506","506","492","502","497","497","504","493","509","507","500","495","497","492","502","502","502","498","504","501","505","502","507","508","493","494","508","491","493","496"
"0035","pop1","502","505","509","495","503","499","493","494","503","504","502","494","492","496","498","496","508","496","508","500","502","498","495","499","502","501","498","495","502","504","507","503","508","506","491","499","498","496","493","492"
"0036","pop1","496","504","500","506","510","505","493","494","493","494","506","506","509","494","497","499","505","507","509","507","499","499","498","501","501","503","501","492","504","504","502","504","507","508","495","497","499","498","495","493"
"0037","pop1","496","506","509","496","502","499","492","492","492","494","500","506","492","495","497","501","508","507","509","506","503","501","494","499","502","503","497","496","510","506","505","503","505","494","498","504","496","491","492","491"
"0038","pop1","502","505","500","499","503","507","494","491","491","506","506","495","492","505","491","498","507","495","510","506","503","502","501","501","502","503","499","494","503","506","505","506","507","508","501","498","498","509","493","494"
"0039","pop1","495","506","507","500","501","502","493","492","492","504","500","505","492","494","491","497","507","506","506","508","505","495","500","496","502","502","498","496","504","500","507","509","507","506","496","496","498","510","495","494"
