20,5000,2,2500,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,pop1,pop2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ind,Pop,locus1, ,locus2, ,locus3, ,locus4, ,locus5, ,locus6, ,locus7, ,locus8, ,locus9, ,locus10, ,locus11, ,locus12, ,locus13, ,locus14, ,locus15, ,locus16, ,locus17, ,locus18, ,locus19, ,locus20, 
"0001","pop1","498","504","503","505","500","495","493","500","507","507","501","496","506","507","494","495","510","507","491","494","501","504","505","501","494","505","503","491","494","499","496","496","504","495","500","494","506","506","503","503"
"0002","pop1","496","497","494","495","492","501","493","502","507","500","500","500","503","503","501","492","507","505","504","508","501","504","503","507","504","506","491","491","507","496","492","497","503","507","494","495","504","503","503","500"
"0003","pop1","492","492","494","502","492","499","497","498","499","505","501","496","503","503","492","496","506","504","494","508","506","505","503","498","505","502","493","498","506","498","501","495","504","509","494","493","504","500","494","502"
"0004","pop1","492","493","495","501","492","501","493","494","499","508","502","503","492","493","495","496","504","504","491","492","500","502","505","501","500","503","497","502","499","499","502","500","504","503","493","493","503","508","494","501"
"0005","pop1","497","491","505","497","492","492","497","504","505","508","501","502","506","504","494","493","507","508","494","503","501","501","502","508","505","506","498","506","501","509","503","498","502","508","500","501","506","503","500","505"
"0006","pop1","492","491","494","494","494","491","498","494","499","499","501","500","503","493","493","499","507","507","508","496","504","502","501","508","494","505","500","492","494","501","496","499","503","509","494","502","502","507","502","502"
"0007","pop1","496","493","503","496","497","507","503","496","507","498","501","503","494","508","492","493","510","507","494","494","501","504","501","498","494","501","491","491","496","501","495","494","504","493","499","491","503","502","503","499"
"0008","pop1","494","494","501","497","497","498","498","498","509","506","499","507","493","493","495","497","507","508","494","495","504","504","500","497","500","501","507","501","493","493","501","498","504","506","501","492","502","505","503","501"
"0009","pop1","497","493","504","498","497","497","502","501","507","499","502","495","503","493","494","495","507","504","492","503","504","502","507","499","504","507","497","492","506","500","498","499","504","505","499","499","500","505","501","498"
