20,5000,2,2500,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,pop1,pop2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ind,Pop,locus1, ,locus2, ,locus3, ,locus4, ,locus5, ,locus6, ,locus7, ,locus8, ,locus9, ,locus10, ,locus11, ,locus12, ,locus13, ,locus14, ,locus15, ,locus16, ,locus17, ,locus18, ,locus19, ,locus20, 
"0001","pop1","508","508","495","495","497","509","496","505","507","507","507","506","505","504","502","503","502","497","503","503","494","502","504","503","493","496","494","492","492","494","504","502","496","501","495","498","505","507","498","510"
"0002","pop1","505","506","495","496","502","496","502","504","508","504","501","493","496","495","504","499","505","504","498","497","503","501","503","502","501","498","508","508","496","503","502","508","499","495","497","502","506","500","494","508"
"0003","pop1","507","507","497","497","497","506","501","498","504","503","501","497","504","493","500","500","497","506","497","502","503","496","503","508","499","499","492","497","504","502","504","501","494","504","498","500","507","501","506","496"
"0004","pop1","503","503","495","497","502","500","503","503","501","500","496","495","492","503","502","500","502","501","503","500","502","496","499","505","499","500","508","491","497","499","509","503","496","494","497","499","507","504","510","496"
"0005","pop1","508","508","493","499","509","501","502","504","509","509","507","508","493","493","501","501","497","504","503","497","502","491","503","507","501","505","492","493","503","497","504","505","501","494","497","496","506","504","494","496"
"0006","pop1","505","509","495","500","501","498","502","501","501","496","496","495","504","495","500","491","507","496","502","499","502","493","504","499","498","494","493","493","499","493","508","509","496","494","498","500","506","497","496","497"
"0007","pop1","507","509","496","500","497","502","496","497","502","502","499","503","493","497","499","501","502","507","503","498","505","498","503","505","494","502","491","491","492","497","509","510","495","493","498","496","505","505","494","494"
"0008","pop1","505","507","496","496","506","506","504","494","507","506","493","494","504","494","500","501","502","503","502","504","502","492","504","504","499","494","497","491","503","497","502","508","504","493","498","498","505","496","496","496"
"0009","pop1","509","499","496","499","501","501","504","504","506","506","494","505","503","497","499","498","503","503","502","499","501","492","508","506","499","494","491","493","499","493","504","504","496","494","498","496","505","506","506","509"
"0010","pop1","505","504","496","497","502","498","503","503","500","500","497","494","493","493","501","501","497","504","502","499","492","495","506","506","498","492","492","493","502","493","508","499","501","493","497","496","507","496","498","494"
"0011","pop1","506","509","499","500","502","500","502","504","503","500","501","498","504","493","500","500","504","501","499","501","502","500","504","509","499","495","491","493","499","493","504","510","496","495","498","497","507","509","496","496"
"0012","pop1","505","504","496","500","502","501","496","504","503","501","494","500","495","492","500","495","505","506","503","502","494","499","504","506","499","502","491","493","506","506","510","499","496","492","499","496","506","510","494","496"
"0013","pop1","505","509","494","498","501","499","504","503","507","501","506","497","504","492","500","500","505","504","500","504","503","501","503","507","499","497","493","507","492","498","504","505","494","493","496","501","505","504","494","493"
"0014","pop1","509","509","494","501","502","502","496","503","507","500","501","494","496","493","500","496","505","506","503","500","503","499","505","506","498","500","494","491","506","498","504","503","495","497","499","501","505","504","494","508"
"0015","pop1","505","503","495","494","509","501","505","501","507","499","494","500","504","495","495","492","504","507","498","502","495","504","504","506","500","495","494","499","492","492","503","505","494","506","498","497","507","496","510","506"
