20,5000,2,2500,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,pop1,pop2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ind,Pop,locus1, ,locus2, ,locus3, ,locus4, ,locus5, ,locus6, ,locus7, ,locus8, ,locus9, ,locus10, ,locus11, ,locus12, ,locus13, ,locus14, ,locus15, ,locus16, ,locus17, ,locus18, ,locus19, ,locus20, 
"0001","pop1","501","506","503","502","503","505","502","507","494","499","509","508","495","495","498","497","505","498","503","494","491","499","499","498","510","508","507","491","504","496","499","491","506","507","507","501","498","504","494","506"
"0002","pop1","504","505","502","499","502","498","508","504","499","497","509","500","499","496","497","497","499","502","494","494","500","503","495","491","510","509","504","501","494","497","493","497","500","500","504","500","499","506","494","502"
"0003","pop1","506","507","503","504","503","503","502","507","499","497","507","501","494","498","498","506","505","499","498","498","500","502","496","497","510","510","507","505","496","503","497","496","502","502","507","501","504","504","505","501"
"0004","pop1","506","503","503","505","499","501","502","501","509","500","506","498","495","497","497","496","506","500","496","496","500","502","498","497","508","509","504","505","497","498","493","496","502","504","505","497","506","503","502","501"
"0005","pop1","506","505","503","504","501","506","502","501","499","500","508","508","495","496","498","500","499","500","498","496","492","501","495","497","510","507","501","493","504","499","491","495","491","492","504","505","506","505","505","499"
"0006","pop1","500","499","503","501","500","500","502","509","499","500","508","498","497","503","496","500","500","501","493","502","502","498","498","496","509","507","494","499","504","498","491","493","502","504","501","500","506","501","503","497"
"0007","pop1","501","506","502","506","503","504","506","505","497","500","509","508","498","502","498","501","505","503","498","502","491","499","498","494","509","506","507","499","504","496","499","496","507","500","500","503","503","501","506","497"
"0008","pop1","506","494","508","507","503","504","506","510","499","498","509","506","495","494","496","495","499","500","493","502","501","497","498","498","510","507","493","500","504","499","499","495","501","499","501","504","504","503","505","503"
"0009","pop1","503","503","501","507","503","503","502","507","499","498","508","498","495","497","497","499","499","507","502","502","499","498","491","491","509","507","504","500","504","497","496","495","500","504","503","502","503","505","505","503"
"0010","pop1","501","504","505","498","502","504","507","508","497","498","509","506","494","501","498","496","502","500","494","496","499","497","491","491","510","510","494","500","504","497","499","493","501","505","500","499","504","501","503","491"
"0011","pop1","503","494","503","505","502","504","507","508","499","509","498","498","496","493","497","501","506","504","498","500","502","492","492","500","507","504","493","493","500","500","496","498","506","491","504","505","498","504","506","500"
"0012","pop1","504","504","506","506","503","504","507","503","499","500","503","505","496","497","497","496","499","504","498","502","491","497","498","497","508","509","500","500","504","505","494","492","501","503","501","502","505","505","494","501"
"0013","pop1","505","505","504","501","501","500","508","501","497","498","508","505","495","495","497","501","505","506","494","502","502","502","499","497","510","509","506","496","496","494","495","494","500","491","501","505","498","503","501","499"
"0014","pop1","506","494","504","505","503","505","504","510","497","497","498","498","497","493","496","503","502","500","496","502","501","498","498","497","507","505","493","492","499","506","497","496","504","493","503","502","506","503","505","491"
"0015","pop1","501","499","504","505","503","502","507","508","494","499","498","505","499","500","498","496","500","496","503","502","500","496","498","495","507","505","493","506","497","500","493","494","502","501","505","506","504","505","505","507"
"0016","pop1","501","504","501","498","502","501","502","501","499","500","506","505","499","496","496","500","502","506","502","500","501","494","498","497","507","506","501","500","504","496","498","494","500","491","501","502","504","506","501","495"
"0017","pop1","505","507","504","504","502","500","507","508","497","500","508","499","495","493","501","495","503","494","498","496","500","493","496","497","507","507","504","494","504","497","493","496","491","505","501","497","503","501","503","507"
"0018","pop1","504","505","503","504","505","501","508","506","499","500","506","506","497","500","496","501","501","504","502","499","500","501","497","494","510","510","504","494","496","491","496","498","500","502","505","506","506","503","502","500"
"0019","pop1","503","499","503","505","502","492","508","503","499","498","500","506","499","497","498","496","499","504","493","502","502","501","498","498","508","509","493","496","495","495","492","492","502","502","505","505","503","505","494","501"
"0020","pop1","501","503","501","508","505","500","508","504","499","497","507","503","499","497","500","499","502","503","503","497","502","492","498","495","506","506","496","496","500","505","493","495","498","498","501","505","504","506","507","495"
"0021","pop1","500","500","506","507","505","500","502","507","509","498","509","505","496","498","498","496","499","506","502","499","500","500","495","491","509","507","494","492","494","503","499","493","502","503","505","503","504","505","501","495"
"0022","pop1","507","499","502","506","502","494","504","510","497","500","509","509","497","497","497","497","505","506","498","498","502","496","495","497","510","507","504","500","491","495","493","496","503","498","507","507","505","505","502","509"
"0023","pop1","500","499","504","507","503","502","501","505","500","500","508","503","496","496","496","495","505","502","494","496","502","494","498","494","510","507","501","493","494","497","499","496","500","492","503","502","504","501","500","495"
"0024","pop1","501","500","502","498","503","505","507","506","497","503","499","502","496","501","501","507","504","509","498","496","500","492","499","497","509","509","491","493","494","495","498","501","502","505","501","503","498","502","497","495"
"0025","pop1","504","504","502","504","505","499","509","503","499","506","502","497","496","494","501","495","505","506","493","497","492","496","495","496","507","506","493","494","497","498","493","497","506","501","505","503","503","505","502","495"
"0026","pop1","501","499","503","505","498","499","507","504","497","508","509","510","496","497","501","499","499","502","496","502","500","498","498","492","510","509","493","496","499","505","497","497","507","501","503","503","504","504","502","504"
